Participant,Age,IPT,TotalTime,avgPlanall,PlanAccGam,SAT,RankDiffall,Pred4Time,Pred9Time,AvgPredAcc,MonFail,PrAccNFail,CJT,CJP,RefTimeAcc,RefPuzzAcc,StratUsed,StratImp,PuzzAcc,Plan1,Plan2,Plan3,Plan4,MonCon1,MonCon2,MonCon3,MonCon4,Eval1,Eval2,Eval3,Know1,Know2,Evalb,Evalc
3,16,309.5386076,1104.020256,0.233898227,0.75,7,4.7,547,802,7.1819724,Y,0.301411482,7,8,6.8819724,0.1,2,2,18,0.233898227,0.75,0.7,0.53,-0.006181972,0.9,0.698588518,0,-0.005881972,0.9,0.998588518,2,2,0.005881972,0.9
4,16,109.39086,528.2742766,0.185517399,0.3333333,8,5.3,565,733,0.576915819,N,0.576915819,4,8,0.023084181,0,2,1,16,0.185517399,0.3333333,0.8,0.47,0.423084181,1,0.423084181,0.46875,0.976915819,1,0.976915819,2,1,0.976915819,1
5,16,175.3029084,724.4614538,0.209293695,-0.3333333,6,3.15,490,620,0.377653828,N,0.377653828,7,8,0.077653828,0.15,1,1,19,0.209293695,-0.3333333,0.6,0.685,0.622346172,1,0.622346172,0.4736842,0.922346172,0.85,0.922346172,1,1,0.922346172,0.85
6,17,252.2994638,873.9648489,0.240010977,0.3333333,7,4.65,370,600,0.293911626,N,0.293911626,6,4,0.106088374,0.55,2,1,19,0.240010977,0.3333333,0.7,0.535,0.706088374,1,0.706088374,-0.4736842,0.893911626,0.45,0.893911626,2,1,0.893911626,0.45
7,15,157.2382928,664.2659948,0.202520259,0.03703704,7,3.55,355,485,0.27783369,N,0.27783369,6,7,0.12216631,0.05,2,2,15,0.202520259,0.03703704,0.7,0.645,0.72216631,1,0.72216631,-0.0666667,0.87783369,0.95,0.87783369,2,2,0.87783369,0.95
8,16,252.5735841,1265.320635,0.181564475,0.3333333,10,4.5,562,923,0.347251667,N,0.347251667,6,7,0.052748333,0.1,2,1,16,0.181564475,0.3333333,1,0.55,0.652748333,1,0.652748333,-0.5625,0.947251667,0.9,0.947251667,2,1,0.947251667,0.9
9,17,239.950933,807.1592672,0.241069058,-0.1111111,7,3.75,375,685,0.27968167,N,0.27968167,5,9,0.22031833,0.05,2,1,19,0.241069058,-0.1111111,0.7,0.625,0.72031833,1,0.72031833,-0.7894737,0.77968167,0.95,0.77968167,2,1,0.77968167,0.95
10,17,248.3539166,984.1497395,0.215316047,0.1111111,7,3.9,432,785,0.225357908,N,0.225357908,7,9,0.074642092,0.05,2,2,19,0.215316047,0.1111111,0.7,0.61,0.774642092,1,0.774642092,-0.2631579,0.925357908,0.95,0.925357908,2,2,0.925357908,0.95
11,17,135.1342329,1243.228293,0.102418482,-0.9047619,0,9.1,1200,1200,0.481988211,N,0.481988211,5,5,0.018011789,0.35,1,0,17,0.102418482,-0.9047619,0,0.09,0.518011789,1,0.518011789,0.5686275,0.981988211,0.65,0.981988211,1,0,0.981988211,0.65
12,17,232.1190777,856.8502468,0.22589095,0,10,3.85,347,700,0.377495541,N,0.377495541,1,6,0.522504459,0.3,2,0,18,0.22589095,0,1,0.615,0.622504459,1,0.622504459,-0.6111111,0.477495541,0.7,0.477495541,2,0,0.477495541,0.7
13,16,167.691616,1017.068882,0.152208824,1,7,4.15,494,662,0.365923338,N,0.365923338,3,7,0.334076662,0.25,2,1,19,0.152208824,1,0.7,0.585,0.634076662,1,0.634076662,-1,0.665923338,0.75,0.665923338,2,1,0.665923338,0.75
17,12,499.7450262,704.4462397,0.391203826,-0.25,3,5.3,465,570,0.335450214,N,0.335450214,7,10,0.035450214,0.4,2,2,12,0.391203826,-0.25,0.3,0.47,0.664549786,1,0.664549786,0.5208333,0.964549786,0.6,0.964549786,2,2,0.964549786,0.6
18,13,242.5796813,1451.393177,0.153626839,-0.375,4,4.8,866,968,0.26990667,N,0.26990667,5,5,0.23009333,0.4,2,1,18,0.153626839,-0.375,0.4,0.52,0.73009333,1,0.73009333,-0.4444444,0.76990667,0.6,0.76990667,2,1,0.76990667,0.6
19,13,242.939921,1423.639138,0.160759903,0.3333333,9,5.65,607,1113,0.302541955,N,0.302541955,3,4,0.397458045,0.15,0,0,11,0.160759903,0.3333333,0.9,0.435,0.697458045,1,0.697458045,0.3939394,0.602541955,0.85,0.602541955,0,0,0.602541955,0.85
