Participant,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSD4,avgSD9,avgSDall,AvgFHalf,AvgSHalf,Avg4,Avg9,TotalAvg,PuzzScor1,PuzzScor2,PuzzAcc,Clicks1,Clicks2,ClicksAll,NoWrinTime,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,Strategy,Improve
1,0.163939122,0.149358202,0.156648662,0.9,0.460833333,0.835,0.310526316,0.210526316,0.739473684,0.092653608,0.241307788,0.068631022,0.265330374,0.166980698,0.471889781,0.323358883,0.31336119,0.481887474,0.602375668,0.9,0.7,0.8,0.342,0.282,0.688,0.95,0.6,,1,,1,0.5
2,0.185800434,0.218910842,0.202355638,1,0.271666667,0.409166667,0.278947368,0.289473684,0.715789474,0.054507181,0.134608522,0.041805072,0.147310631,0.094557851,0.36294375,0.288039925,0.399516331,0.251467344,0.674508162,0.8,0.9,0.85,0.27,0.22,0.755,0.85,0.6,,0.9,,1,1
3,0.254150552,0.259931756,0.257041154,1,0.1125,0.269166667,0.173684211,0.178947368,0.823684211,0.030278727,0.079418717,0.021876305,0.087821139,0.054848722,0.182174852,0.213865029,0.247751425,0.148288456,0.801980059,0.6,0.6,0.6,0.176,0.156,0.834,0.6,0.9,,0.9,,1,1
4,0.132964485,0.110118392,0.121541439,0.2,0.848333333,0.904166667,0.436842105,0.247368421,0.657894737,0.086297598,0.327243904,0.062702757,0.350838745,0.206770751,0.861824113,0.539360128,0.746397699,0.654786542,0.29940788,0.8,0.5,0.65,0.448,0.26,0.646,0.75,0.3,,1,,1,0
5,0.20970237,0.173069021,0.191385695,0.8,0.335,0.619166667,0.243421053,0.215789474,0.771929825,0.077447773,0.180314481,0.060888855,0.196873399,0.128881127,0.347762039,0.327440854,0.444678849,0.228266134,0.663527508,1,0.9,0.95,0.234,0.178,0.794,0.95,0.6,,0.9,,1,0.5
6,0.200807334,0.199929465,0.200368399,0.9,0.4225,0.7175,0.157894737,0.205263158,0.818421053,0.107746783,0.234912733,0.082651262,0.260008254,0.171329758,0.357288386,0.394786004,0.31118686,0.44088753,0.623962805,0.8,0.9,0.85,0.27,0.214,0.758,0.9,0.9,,0.7,,1,1
7,0.220546045,0.19511133,0.207828687,1,0.214166667,0.555833333,0.178947368,0.157894737,0.831578947,0.080808573,0.168036894,0.065392918,0.183452549,0.124422734,0.13919389,0.196761432,0.141901066,0.194054256,0.832022339,1,1,1,0.2,0.18,0.81,1,0.9,,0.9,,1,0.5
8,0.209303299,0.289021902,0.2491626,1,0.2675,0.6475,0.168421053,0.210526316,0.810526316,0.093078525,0.192631111,0.069171225,0.216538412,0.142854818,0.28708021,0.208601402,0.198045111,0.297636502,0.752159194,0.9,0.8,0.85,0.184,0.162,0.827,0.85,0.6,,0.8,,1,1
9,0.149489078,0.242895511,0.196192294,0.3,0.854166667,0.9225,0.415789474,0.184210526,0.7,0.093149398,0.298180701,0.067487413,0.323842686,0.195665049,0.690740066,0.550968376,0.546542511,0.69516593,0.379145779,0.5,0.5,0.5,0.664,0.382,0.477,0.85,0.5,,0.9,,1,0.5
10,0.112632346,0.225894746,0.169263546,0.4,0.746666667,0.4925,0.594736842,0.268421053,0.568421053,0.108682207,0.243065385,0.073108831,0.278638761,0.175873796,10.84907202,12.53158922,0.616320023,22.76434121,-10.69033062,0.6,0.8,0.7,0.62,0.418,0.481,0.85,0.5,,0.5,,1,0.5
11,0.215022113,0.218311633,0.216666873,1,0.191666667,0.470833333,0.194736842,0.189473684,0.807894737,0.050058634,0.135341343,0.035981946,0.149418031,0.092699989,0.445518194,0.134050562,0.235255156,0.3443136,0.710215622,1,1,1,0.256,0.218,0.763,1,0.6,,0.9,,1,0.5
12,0.225232007,0.219210597,0.222221302,1,0.175,0.369166667,0.294736842,0.231578947,0.736842105,0.049184512,0.099195129,0.033221599,0.115158042,0.07418982,0.394939267,0.178318269,0.227962072,0.345295463,0.713371232,1,1,1,0.222,0.192,0.793,1,0.7,,1,,1,0.5
13,0.206536484,0.242239931,0.224388207,1,0.3,0.629166667,0.147368421,0.189473684,0.831578947,0.050896,0.180287231,0.030260216,0.200923015,0.115591615,0.403244737,0.358016764,0.423942342,0.33731916,0.619369249,0.9,1,0.95,0.182,0.148,0.835,0.95,0.8,,0.8,,1,1
14,0.202615816,0.255161382,0.228888599,1,0.178333333,0.464166667,0.215789474,0.189473684,0.797368421,0.061725439,0.17430476,0.033474745,0.202555455,0.1180151,0.63786279,0.361274726,0.476949965,0.522187551,0.500431242,1,0.6,0.8,0.302,0.164,0.767,0.8,0.6,,0.9,,1,0.5
