Participant,Gender,Ethnicity,Age,Ceiling,avgPlan1,avgPlan2,avgPlanall,SAT,Pred4Time,Pred9Time,PredDiff,RankDiff1,RankDiff2,RankDiffall,avgSD1,avgSD2,avgSDall,AvgPredAcc1,AvgPredAcc2,AvgPredAcc,PuzzScor1,PuzzScor2,PuzzAcc,Clicks,CJTime,CJPuzzles,StrategyNo,ImproveNo,RefTimeAcc,RefPuzzAcc
1,Female,Scottish,25,N,0.163939122,0.149358202,0.156648662,9,553,1002,449,5.4,4.2,4.8,2.316340189,6.032694702,4.174517445,0.471889781,0.323358883,0.397624332,9,7,16,171,6,,2,1,0.097595091,
2,Male,Scottish,23,N,0.185800434,0.218910842,0.202355638,10,326,491,165,5,6.3,5.65,1.362679524,3.365213045,2.363946285,0.36294375,0.288039925,0.325491838,8,9,17,135,6,,2,2,0.074508162,
3,Male,Norwegian,25,N,0.254150552,0.259931756,0.257041154,10,135,323,188,3.6,4.8,4.2,0.756968178,1.985467915,1.371218047,0.182174852,0.213865029,0.198019941,6,6,12,88,9,,2,2,0.098019941,
4,Male,Indian,23,N,0.132964485,0.110118392,0.121541439,2,1018,1085,67,6.4,5.7,6.05,2.157439948,8.181097594,5.169268771,0.861824113,0.539360128,0.70059212,8,5,13,224,3,,2,0,0.123764981,
5,Male,Irish,25,N,0.20970237,0.173069021,0.191385695,8,402,743,341,2.875,4.3,3.666666667,1.936194316,4.507862031,3.222028174,0.347762039,0.327440854,0.336472492,10,9,19,117,6,,2,1,0.063527508,
6,Female,Finnish,23,N,0.200807334,0.199929465,0.200368399,9,507,861,354,2.9,4.7,3.8,2.693669581,5.87281832,4.283243951,0.357288386,0.394786004,0.376037195,8,9,17,135,9,,2,2,0.221809789,
7,Male,Scottish,25,Y,0.220546045,0.19511133,0.207828687,10,257,667,410,3.5,4,3.75,2.020214333,4.200922348,3.11056834,0.13919389,0.196761432,0.167977661,10,10,20,100,9,,2,1,0.067977661,
8,Female,Swedish,20,N,0.209303299,0.289021902,0.2491626,10,321,777,456,4.3,4.2,4.25,2.326963132,4.815777784,3.571370458,0.28708021,0.208601402,0.247840806,9,8,17,92,6,,2,2,0.152159194,
9,Female,Irish,23,N,0.149489078,0.242895511,0.196192294,3,1025,1107,82,6.2,3.1,4.65,2.328734939,7.45451752,4.891626229,0.690740066,0.550968376,0.620854221,5,5,10,332,5,,2,1,0.10464144,
10,Female,Scottish,24,N,0.112632346,0.225894746,0.169263546,4,896,591,-305,10,5.5,7.75,2.717055167,6.076634622,4.396844895,10.84907202,12.53158922,11.69033062,6,8,14,310,5,,2,1,10.98940478,
11,Female,British,18,Y,0.215022113,0.218311633,0.216666873,10,230,565,335,4.2,4.2,4.2,1.251465853,3.383533586,2.31749972,0.445518194,0.134050562,0.289784378,10,10,20,128,6,,2,1,0.127870939,
12,Female,Scottish,18,Y,0.225232007,0.219210597,0.222221302,10,210,443,233,4.9,5,4.95,1.2296128,2.479878223,1.854745512,0.394939267,0.178318269,0.286628768,10,10,20,111,7,,2,1,0.013371232,
13,Male,Polish,23,N,0.206536484,0.242239931,0.224388207,10,360,755,395,3.1,5.2,4.15,1.272399992,4.507180763,2.889790378,0.403244737,0.358016764,0.380630751,9,10,19,91,8,,2,2,0.180630751,
14,Female,Scottish,18,N,0.202615816,0.255161382,0.228888599,10,214,557,343,5.2,4.4,4.8,1.543135987,4.357619012,2.950377499,0.63786279,0.361274726,0.499568758,10,6,16,151,6,,2,1,0.099568758,
15,Female,Polish,25,N,0.281728968,0.290965562,0.286347265,10,312,761,449,3.5,5.1,4.3,1.888138621,4.881859342,3.384998982,0.528423741,0.169949309,0.349186525,9,9,18,140,6,,2,1,0.088313475,
16,Male,British,22,N,0.208017517,0.230781756,0.219399637,10,318,797,479,4.8,5.3,5.05,1.870934776,4.840201846,3.355568311,0.761242565,0.320918066,0.541080316,10,8,18,121,6,,2,2,0.070970555,
17,Female,Scottish,24,N,0.214583944,0.165615294,0.190099619,9,279,610,331,4,4,4,1.489944326,3.7423478,2.616146063,0.266037293,0.34764158,0.302305865,9,9,18,112,7,,2,1,0.002305865,
18,Female,Czech,20,N,0.361505332,0.349983379,0.355744356,10,164,382,218,3.1,4.5,3.8,0.917051553,2.281296448,1.599174,0.251502383,0.125584336,0.18854336,10,8,18,100,6,,2,1,0.21145664,
19,Female,Scottish,19,N,0.217896871,0.197642669,0.20776977,10,248,733,485,3.7,4.2,3.95,1.701261674,3.954283436,2.827772555,0.325170841,0.238493315,0.281832078,9,8,17,82,8,,2,2,0.081832078,
