ID,Guessed,Random,GTD,feedback,smaller,red_white,bothsrw,atleastrsw,bothgf,atleastgf,best,none,GTD2, feedback2,smaller2,red_white2,atleastgf2,atleastsrw2,StratNo,PuzzAcc,SAT,RankAcc,PAAcc,RankPA,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,RankTime,PAPercent,GuessedTime,GuessedPuzzle
1,N,N,N,Y,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,16,9,4.8,0.397624332,0.132,6,,0.097595091,,0.514,0.6,0.050737325,0.25
2,N,N,N,N,Y,Y,H,Y,N,N,Y,N,N,N,N,N,N,N,2,17,10,5.65,0.325491838,0.343,6,,0.074508162,,0.698,0.67,0.098594093,0.35
3,N,N,N,Y,N,N,N,N,M,Y,Y,N,N,N,N,N,N,N,1,12,10,4.2,0.198019941,0.895,9,,0.098019941,,0.5,0.8,0.228262786,0.5
4,N,N,N,N,N,Y,M,Y,N,N,N,N,N,N,N,N,N,N,1,13,2,6.05,0.70059212,0.027,3,,0.123764981,,0.369,0.3,0.165999026,0.45
5,N,N,N,Y,N,N,N,N,M,Y,N,N,N,Y,Y,N,Y,Y,1,19,8,3.666666667,0.336472492,0.277,6,,0.063527508,,0.79,0.66,,
6,N,N,Y,Y,Y,Y,H,Y,H,Y,Y,N,N,N,N,N,N,N,4,17,9,3.8,0.376037195,0.158,9,,0.221809789,,0.224,0.62,,
7,N,N,Y,Y,N,Y,M,Y,H,Y,N,N,N,N,N,N,N,N,4,20,10,3.75,0.167977661,0.961,9,,0.067977661,,0.737,0.83,,
8,N,N,Y,Y,Y,N,M,Y,H,Y,Y,N,N,N,N,N,N,N,4,17,10,4.25,0.247840806,0.672,6,,0.152159194,,0.343,0.75,,
9,N,N,Y,N,N,N,N,N,M,Y,N,N,N,Y,N,N,Y,N,1,10,3,4.65,0.620854221,0.066,5,,0.10464144,,0.422,0.38,,
10,N,N,Y,N,N,N,N,N,M,Y,N,N,N,N,Y,N,N,Y,1,14,4,7.75,11.69033062,0,5,,10.98940478,,0,-10.69,,
