ID,Guessed,Random,GTD,feedback,smaller,red_white,bothgf,bothsrw,atleastgf,atleastrsw,best,none,GTD2, feedback2,smaller2,red_white2,bothgf2,bothsrw2,atleastgf2,atleastsrw2,StratNo,PuzzAcc,SAT,RankAcc,PAAcc,CJTime,CJPuzz,RefTimeAcc,RefPuzzAcc,AvgPredNoZ,RefTimeAccNoZ
11AB13,N,N,Y,Y,Y,N,H,M,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,20,9,5,0.36535199,5,9,0.13464801,0.1,0.36535199,0.13464801
11AC15,N,N,Y,N,N,Y,M,M,Y,Y,Y,N,N,N,N,N,N,N,N,N,3,20,6,5.1,0.55478348,5,7,0.05478348,0.3,0.55478348,0.05478348
11AD17,N,N,Y,Y,Y,Y,H,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,5,18,7,4.7,7.1819724,7,8,6.8819724,0.1,0.301411482,0.001411482
11AE19,N,N,N,N,Y,N,N,M,N,Y,N,N,N,N,N,Y,N,M,N,Y,2,16,8,5.3,0.576915819,4,8,0.023084181,0,0.576915819,0.023084181
11AF21,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,M,N,Y,N,1,19,6,3.15,0.377653828,7,8,0.077653828,0.15,0.377653828,0.077653828
11AH25,N,N,Y,Y,N,N,H,N,Y,N,N,N,N,N,N,Y,N,M,N,Y,3,19,7,4.65,0.293911626,6,4,0.106088374,0.55,0.293911626,0.106088374
11AI27,N,N,Y,N,Y,N,M,M,Y,Y,Y,N,N,N,N,N,N,N,N,N,3,15,7,3.55,0.27783369,6,7,0.12216631,0.05,0.27783369,0.12216631
11AJ29,N,N,Y,N,Y,Y,M,H,Y,Y,N,N,N,Y,N,N,M,N,Y,N,4,16,10,4.5,0.347251667,6,7,0.052748333,0.1,0.347251667,0.052748333
11AK31,N,N,Y,Y,Y,Y,H,H,Y,Y,N,N,N,Y,Y,N,M,M,Y,Y,5,19,7,3.75,0.27968167,5,9,0.22031833,0.05,0.27968167,0.22031833
11AL33,N,N,Y,Y,Y,Y,H,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,5,19,7,3.9,0.225357908,7,9,0.074642092,0.05,0.225357908,0.074642092
11AM35,N,N,Y,N,N,Y,M,M,Y,Y,N,Y,N,N,N,Y,N,M,N,Y,3,17,0,9.1,0.481988211,5,5,0.018011789,0.35,0.481988211,0.018011789
11AO39,N,N,Y,N,Y,N,M,M,Y,Y,N,Y,N,N,N,N,N,N,N,N,3,18,10,3.85,0.377495541,1,6,0.522504459,0.3,0.377495541,0.522504459
11AP41,N,N,Y,N,Y,Y,M,H,Y,Y,N,N,N,Y,N,N,M,N,Y,N,4,19,7,4.15,0.365923338,3,7,0.334076662,0.25,0.365923338,0.334076662
11JA11,N,N,Y,Y,N,N,H,N,Y,N,N,N,N,N,Y,Y,N,H,N,Y,3,20,7,3,0.163401181,5,4,0.336598819,0.6,0.163401181,0.336598819
11JB13,N,N,Y,Y,Y,Y,H,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,5,20,7,4.25,0.351175976,4,8,0.248824024,0.2,0.351175976,0.248824024
11JC15,N,N,Y,Y,N,Y,H,M,Y,Y,N,N,N,N,Y,N,N,M,N,Y,4,20,7,3.75,0.336309517,5,8,0.163690483,0.2,0.336309517,0.163690483
11JX74,N,N,Y,Y,Y,Y,H,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,5,12,3,5.3,0.335450214,7,10,0.035450214,0.4,0.335450214,0.035450214
11JY73,N,N,N,Y,Y,Y,M,H,Y,Y,N,N,Y,Y,Y,Y,H,H,Y,Y,4,18,4,4.8,0.26990667,5,5,0.23009333,0.4,0.26990667,0.23009333
11EE23,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,0,11,9,5.65,0.302541955,3,4,0.397458045,0.15,0.302541955,0.397458045
33BH11,N,N,Y,N,Y,Y,M,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,20,8,3.25,0.273252023,5,6,0.226747977,0.4,0.273252023,0.226747977
22QA22,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,M,N,Y,N,1,20,5,6.35,10.40063483,1,1,9.500634835,0.9,0.606771625,0.293228375
22QA23,N,N,N,N,N,Y,N,M,N,Y,N,N,N,N,Y,N,N,M,N,Y,2,16,8,4.75,0.439836658,4,4,0.160163342,0.4,0.439836658,0.160163342
22QA24,N,N,Y,N,Y,Y,M,H,Y,Y,Y,N,N,N,N,N,N,N,N,N,4,17,9,4.85,0.326042498,6,8,0.073957502,0.05,0.326042498,0.073957502
22QA25,N,N,N,N,Y,N,N,M,N,Y,N,N,N,Y,N,N,M,N,Y,N,2,14,8,4.65,0.316502091,3,3,0.383497909,0.4,0.316502091,0.383497909
