Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,16,20.37528727,109.1973983,53.46030423,77.59829725,30.94404048,120,68.27679874,86.64370057,22.54369534,67.07000212,31.62164109,84.37843216,21.0274843,120,29.35967992,77.13037643,32.29424841,120,29.25830543,120,1321.179692,6,27,13,23,6,46,19,16,4,11,8,15,4,33,7,13,5,30,7,21,314
2,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,12.11410801,61.10018624,19.88012427,53.90176013,39.1846513,68.23251277,19.74464445,41.9234809,13.27979014,48.0548725,15.72837696,52.63604665,15.83039107,41.65814625,15.19457909,60.31806018,15.32876941,48.12118202,16.36314858,58.00207746,716.5969084,6,23,7,19,12,22,6,14,7,19,6,17,10,10,7,21,5,12,6,19,248
3,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,12,10.87721451,37.96127975,12.3158031,31.97848123,11.39630358,30.43071168,10.88372542,31.84462542,10.11427689,31.14825205,10.18312668,27.29656801,12.66398769,33.91281133,13.5321011,21.96431547,17.81312941,26.43370634,10.36590952,21.53214169,414.6484708,4,12,6,12,4,11,5,14,4,16,4,11,8,10,7,9,5,11,4,11,168
4,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,13,23.69554061,120,74.07797607,120,38.05037281,79.22011423,19.26584691,120,18.51673309,120,22.37327885,98.31877257,25.33679515,90.73944542,19.61126823,120,21.65501255,113.6620063,28.52724311,72.54402471,1345.594431,6,61,41,35,7,15,4,26,4,25,5,18,6,19,4,25,5,24,8,18,356
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,30.26547882,107.5167032,32.2658945,63.17678745,29.53216175,107.8313162,24.49398361,57.56092202,16.78234486,57.25024936,23.76282099,58.83746463,17.74418445,54.97155697,17.29342499,60.21898195,26.07940506,68.14748693,23.96355689,73.35738459,951.0521092,7,23,6,18,8,23,4,11,5,12,7,12,6,10,6,11,5,14,6,15,209
6,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,17,37.23913694,120,32.72405748,97.57441104,41.95412038,84.50860634,33.32292549,98.13709208,27.99238248,69.84726652,25.42643292,60.78324117,24.64342501,82.45957157,32.62364642,98.75333698,33.10712538,120,35.22285686,55.98524455,1212.30488,6,29,7,21,9,17,7,20,6,13,7,12,6,12,6,13,7,25,10,12,245
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,37.73795216,87.49915861,38.70452886,67.62615799,31.95639884,59.36287664,26.37585696,54.13043586,19.97861043,58.92760167,14.91343543,66.05928084,16.46140869,83.70466322,18.37839256,51.4148012,18.87619263,49.93393998,19.84436861,43.91195372,865.7980149,9,17,6,15,7,10,4,11,5,16,5,16,5,16,6,12,6,11,4,12,193
8,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,17,26.27751385,96.80238305,42.86027549,68.17542402,27.33670045,76.34463756,23.59854255,55.06594245,21.7757296,53.64304692,24.03464421,51.09718331,19.5933967,66.90627089,25.05863236,47.846691,20.63851596,68.4046182,20.36557599,40.34067344,876.166398,4,20,7,14,4,12,4,11,5,11,6,9,4,15,6,11,4,13,4,11,175
9,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,10,38.12240497,120,107.9689024,120,120,120,40.17427169,120,19.31076313,120,32.78865487,120,20.54956787,120,19.76401078,120,32.24141079,97.97126862,24.67514713,56.41826567,1569.984668,11,49,31,56,46,45,10,39,7,38,14,25,8,40,6,39,9,31,6,14,524
10,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,14,78.38921891,120,46.75559407,120,68.52555407,120,85.76752843,84.51604521,18.39206569,101.5656049,23.88982703,106.3766062,21.11371115,120,0.147523064,93.69002624,20.12906332,164.5946909,45.86166715,106.5382055,1546.252932,24,47,22,64,21,28,26,28,8,42,10,40,10,51,1,43,4,20,12,21,522
