Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,7,29.87144999,71.47414902,76.40811355,120,20.29899677,120,21.20431934,120,12.87852173,120,23.09725222,68.43214626,12.34382298,44.88493047,27.24664692,120,73.91509683,120,99.32210003,120,1421.377546,8,21,15,24,6,27,5,41,4,31,5,19,4,12,8,25,19,39,35,33,381
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,18,26.20800931,72.70925891,120,91.48802345,44.26097176,75.14497119,31.40028206,87.40043975,27.95285099,74.32408778,25.86554301,72.07440374,19.79444231,55.34728136,24.31796083,61.28463933,18.44055721,56.02974134,120,49.31716913,1153.360633,5,12,7,21,7,10,8,12,6,12,5,16,8,11,8,17,4,11,19,12,211
3,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,7,120,120,120,120,72.25555767,120,48.88240157,120,56.02712224,120,44.16363616,120,49.48187598,120,46.50360325,120,39.93753199,120,120,120,1917.251729,20,20,14,13,17,7,8,12,11,6,7,11,9,16,9,18,6,15,20,19,258
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,29.33356815,120,65.84465643,120,61.32257016,120,58.22156296,120,58.65293884,120,98.52093674,120,82.45310829,120,47.69974868,120,51.37159648,120,92.24270054,120,1845.663387,8,26,12,23,9,21,6,16,8,11,16,12,8,13,5,11,5,13,17,17,257
5,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,17,53.32268119,104.0796182,43.51021586,120,56.03403669,120,26.26645863,120,34.42448195,76.86723559,31.89199298,117.4600176,17.26043245,67.51114892,28.39298832,78.79696111,28.3101609,61.89547843,62.9625441,75.31570049,1324.302153,12,26,8,24,17,20,6,21,9,16,8,7,5,14,7,16,4,14,13,16,263
6,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,11,20.98004881,71.8764659,23.55880925,68.172657,22.99630554,56.69850771,26.99849357,105.3786691,19.83673893,52.03284704,20.85040828,120,18.76714559,41.73926338,19.30015102,35.9893575,20.87289694,56.81145156,46.36908141,50.55663894,899.7859375,5,25,5,18,6,12,6,24,4,12,5,30,8,11,6,12,5,16,12,10,232
7,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,13,24.80714875,58.40973071,27.75049464,87.71922588,33.06863928,57.76967139,25.86504709,117.6741333,33.7960999,63.55400398,26.9829371,68.74420021,23.15188378,77.37043995,34.73238391,63.50071169,35.54604963,59.64204068,46.77542978,54.17247085,1021.032743,5,11,6,14,5,12,6,18,6,13,6,11,4,9,7,11,4,13,10,10,181
8,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,16,59.45876511,91.86355014,58.79299138,120,44.36087645,120,56.6620424,99.29340007,36.52249897,106.1161338,40.11993323,88.95906462,23.29347331,88.05891319,25.7218476,88.16781807,27.40091468,120,62.22284598,120,1477.015069,7,13,10,25,9,25,10,23,7,24,9,16,5,19,6,18,6,19,12,18,281
9,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,16,33.93091455,63.46686737,31.02142081,87.21148592,55.14618918,66.96115375,32.24001295,111.470372,25.81874908,120,28.32948538,74.20687425,24.28692787,68.75447917,22.93880827,102.7965907,28.41596687,80.33127593,69.79099649,85.31161347,1212.430184,8,14,8,17,13,11,6,18,4,26,6,13,6,12,4,18,4,16,15,16,235
10,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,11,49.68793492,93.02516053,48.72003652,120,52.08812788,120,28.13438172,120,24.08760117,120,37.11823645,120,28.715618,118.5484358,23.42164876,120,26.59201363,119.3928623,78.47535032,120,1568.007408,14,15,6,21,8,20,5,20,5,27,8,26,12,25,5,28,5,28,15,23,316
