Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12.61609476,2.048920835,19.81617701,66.49087289,15.63322815,51.52535428,10.83346309,63.07442957,12.55119407,42.92574846,18.66691592,41.02638416,35.53060038,34.90974872,47.47858912,41.21026457,49.11297978,54.90845756,37.68027496,35.57702071,693.616719,4,23,7,15,5,10,4,18,4,10,4,11,10,10,11,10,9,12,11,13,201
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12.34892584,4.198163646,33.13084479,69.52418655,26.46273224,45.51232656,10.00040387,78.87262224,11.24953703,74.82339072,15.983744,55.67511652,41.713469,46.90878185,61.91143408,63.47414313,38.06308773,48.92658498,37.83115687,75.53966497,852.1503166,4,28,9,14,4,11,6,15,4,17,6,12,11,10,10,14,9,15,11,15,225
3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,18.21404132,2.667869839,38.05056821,120,33.57034357,67.82179402,19.70055856,47.61181261,17.88619145,74.82014965,24.36924705,65.37159426,75.29489362,58.39336589,60.69763425,55.07476084,42.63259652,54.50759404,52.5658753,57.43723443,986.6881254,4,23,7,19,6,11,5,10,5,15,5,9,13,10,10,10,9,11,9,9,200
4,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,16,11.78220732,2.214345951,12.53366869,41.70883167,14.48303662,26.77760934,13.34891583,34.54455515,11.96605496,40.9923601,9.667755484,38.79260588,30.44811835,40.19214255,21.66449096,28.82819361,36.54666425,27.31102045,20.51455949,29.29419099,493.6113277,4,15,5,17,6,10,6,16,8,15,5,16,14,16,9,14,16,9,12,11,224
5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19,20.71449436,2.000445879,13.43320659,46.12474238,17.93223705,54.25895695,15.33411089,42.17517797,13.00251777,43.17152883,14.03204904,45.62552716,34.91174236,46.35937296,46.1289609,45.19132776,44.04537504,57.93822048,26.76554264,42.40761638,671.5531534,11,20,6,17,7,19,6,10,5,11,4,17,12,19,15,15,11,18,10,13,246
6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,18.6838794,2.349209007,26.39890385,88.3257296,19.70060421,44.74472081,20.01695225,53.76496631,20.80069099,41.24759943,23.40011805,57.87407087,59.74927798,72.32454909,54.83323116,42.93721203,42.88097463,50.16188446,42.86494241,37.64404859,820.7035651,5,18,7,19,5,11,5,10,7,11,5,12,13,18,10,13,9,12,10,9,209
7,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,15,15.6829473,1.998007907,11.40066127,59.24227061,16.61669496,59.85853123,31.01536799,32.04501168,12.33417733,36.99209675,15.85088813,32.92750256,45.34799591,34.61154214,44.61398687,34.89545681,35.58115454,29.79540176,29.69881507,43.51121154,624.0197224,6,15,4,20,5,15,17,14,6,10,5,10,18,10,13,13,14,12,15,14,236
8,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,16,24.61393657,6.952219078,32.63039508,74.99075081,36.51766386,80.88526997,18.23269261,82.4895971,25.16735897,85.78907265,23.29879998,68.41166111,54.79449392,63.34197507,100.8258061,58.16064013,91.70868779,83.52502716,80.90969646,59.02710922,1152.272854,8,13,6,10,11,18,4,19,6,20,4,15,12,16,28,11,20,19,18,13,271
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,18.03334118,2.846991524,19.75114958,47.77820537,21.74930178,74.87630027,22.45020348,46.46203419,17.88379444,50.37741184,18.96676083,59.16049686,46.71544508,45.92906834,37.69919602,46.7616015,32.66710595,53.79343622,40.73206338,34.89645409,739.5303619,4,15,4,9,7,16,9,9,4,12,4,12,9,12,9,11,11,18,13,11,199
10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19,16.48319311,1.60015378,18.70130501,62.86850369,27.51865873,70.41604572,18.83212192,69.07398761,19.81834748,65.35439035,17.81575016,50.69533698,53.85924673,61.07516229,64.39291521,50.09006522,59.06314763,71.38746908,42.46331302,53.75542761,895.2645413,6,14,5,11,5,14,6,12,4,12,4,10,14,15,13,9,10,17,9,11,201
